date,city_number,city_name,country,lat,lng,temperature,cloudiness,wind_speed,humidity
01/03/21,1254657,Thānesar,IN,29.98,76.82,287.86,3.89,0,86
01/03/21,1516589,Zhezkazgan,KZ,47.8,67.71,251.05,4.75,82,87
01/03/21,1516589,Zhezkazgan,KZ,47.8,67.71,251.05,4.75,82,87
01/03/21,2033403,Yilan,CN,46.32,129.57,248.22,6.04,30,87
01/03/21,5983720,Iqaluit,CA,63.75,-68.51,256.15,5.7,90,77
01/03/21,3544091,Pinar del Río,CU,22.42,-83.7,300.93,2.95,59,54
01/03/21,5866583,Saint Paul Harbor,US,57.79,-152.41,268.15,2.6,20,85
01/03/21,5880054,Barrow,US,71.29,-156.79,254.15,3.6,90,77
01/03/21,3598787,Champerico,GT,14.3,-91.92,304.15,4.1,40,62
01/03/21,1218420,Seydi,TM,39.48,62.91,271.84,3.23,0,77
01/03/21,1218420,Seydi,TM,39.48,62.91,271.84,3.23,0,77
01/03/21,3874787,Punta Arenas,CL,-53.15,-70.92,285.07,11.3,75,66
01/03/21,2071860,Esperance,AU,-33.87,121.9,287.15,3.6,90,82
01/03/21,2077963,Albany,AU,-35.02,117.89,289.15,3.6,90,77
01/03/21,3651949,San Cristobal,EC,-0.9,-89.62,300.15,7.2,40,83
01/03/21,3379316,Lethem,GY,3.38,-59.8,304.37,3.77,87,53
01/03/21,2017364,Russkiy,RU,43.01,131.86,249.15,6.99,0,69
01/03/21,1644605,Galesong,ID,-5.32,119.37,297.15,1.5,20,100
01/03/21,2092164,Lorengau,PG,-2.02,147.27,300.67,0.79,91,75
01/03/21,2206939,Bluff,NZ,-46.6,168.33,284.82,0.45,100,94
01/03/21,2194098,Ahipara,NZ,-35.17,173.17,290.72,1.57,1,83
01/03/21,2120047,Ust'-Omchug,RU,61.15,149.63,243.24,3.18,100,81
01/03/21,962367,Richards Bay,ZA,-28.78,32.04,296.22,2.07,100,87
01/03/21,3992842,Petatlán,MX,17.52,-101.27,305.15,3.1,5,52
01/03/21,4705086,Lamar,US,33.67,-95.58,287.07,6.7,1,47
01/03/21,4705086,Lamar,US,33.67,-95.58,287.07,6.7,1,47
01/03/21,2126199,Cherskiy,RU,68.75,161.3,241.31,1.91,100,84
01/03/21,3418910,Upernavik,GL,72.79,-56.15,263.02,1.87,100,94
01/03/21,604490,Luleå,SE,65.58,22.15,261.15,1.5,0,92
01/03/21,1488950,Turan,RU,52.15,93.92,242.78,0.51,100,82
01/03/21,1855342,Nishihara,JP,26.18,127.76,291.04,4.1,75,82
01/03/21,4021858,Guerrero Negro,MX,27.98,-114.06,292.19,4.76,100,45
01/03/21,4021858,Guerrero Negro,MX,27.98,-114.06,292.19,4.76,100,45
01/03/21,4837648,Ledyard Center,US,41.44,-72.01,275.36,5.7,90,80
01/03/21,300075,Suruç,TR,36.98,38.42,281.15,4.6,0,45
01/03/21,300075,Suruç,TR,36.98,38.42,281.15,4.6,0,45
01/03/21,371745,Kutum,SD,14.2,24.67,291.66,3.15,69,24
01/03/21,3386213,Touros,BR,-5.2,-35.46,303.15,8.2,40,66
01/03/21,3134658,Terråk,NO,65.09,12.37,273.57,2.6,75,95
01/03/21,154002,Mhango,TZ,-3.28,32.85,292.23,0.5,98,88
01/03/21,1728539,Balanacan,PH,13.53,121.87,297.59,5.3,20,93
01/03/21,1490551,Suzun,RU,53.78,82.31,243.61,1.05,0,85
01/03/21,3459094,Laguna,BR,-28.48,-48.78,297.74,7.13,0,63
01/03/21,2189343,Kaeo,NZ,-35.1,173.78,290.93,0.45,1,95
01/03/21,638936,Rovaniemi,FI,66.5,25.72,258.15,1,75,92
01/03/21,4705041,Lakeway,US,30.36,-97.98,292.16,4.1,1,32
01/03/21,4004399,Imuris,MX,30.78,-110.87,290.38,0.74,0,26
01/03/21,2803243,Amblève,BE,50.35,6.17,272.6,4.1,100,100
01/03/21,2206900,Westport,NZ,-41.75,171.6,286.16,1.94,71,83
01/03/21,2132606,Samarai,PG,-10.62,150.67,301.29,6.4,100,80
01/03/21,2385535,Kouango,CF,4.99,19.96,298.18,2.05,23,65
01/03/21,2789484,Oud-Turnhout,BE,51.32,4.98,276.3,4.47,100,84
